勘定科目ID,勘定科目名,決算書表示名,決算書表示名ID,勘定科目カテゴリー,勘定科目のカテゴリーID,ショートカット1,ショートカット2,勘定科目の使用設定（true: 使用する、false: 使用しない）,税区分コード,口座ID
819804386,その他有価証券評価差額金,その他有価証券評価差額金,700759660,他有価証券評価差額金,66,SONOTAYU,570,TRUE,2,
819804469,ソフトウェア,ソフトウェア,700759663,無形固定資産,43,SOFUTO,225,TRUE,34,
819804431,リース料,リース料,700759665,販売管理費,93,RI-SU,768,TRUE,34,
819804325,一括償却資産,一括償却資産,700759666,有形固定資産,42,IKKATSUS,208,TRUE,34,
819804297,不渡手形,不渡手形,700759667,売上債権,37,FUWATARI,141,TRUE,2,
819804422,事務用品費,事務用消耗品費,700759668,販売管理費,93,JIMUYOU,761,TRUE,34,
819804415,交際費,接待交際費,700759742,販売管理費,93,KOUSAI,753,TRUE,34,
819804397,仕入値引高,仕入値引高,700759669,当期商品仕入,84,SHIIRENE,729,TRUE,39,
819804445,仕入割引,仕入割引,700759670,営業外収益,95,SHIIREWA,802,TRUE,39,
819804399,仕入割戻し高,仕入割戻し高,700759671,当期商品仕入,84,SHIIREWA,731,TRUE,39,
819804398,仕入戻し高,仕入戻し高,700759672,当期商品仕入,84,SHIIREMO,730,TRUE,39,
819804396,仕入高,当期商品仕入高,700759731,当期商品仕入,84,SHIIREDA,725,TRUE,34,
819804306,仕掛品,仕掛品,700759673,棚卸資産,39,SHIKAKAR,163,TRUE,2,
819804400,他勘定振替高(商),他勘定振替高(商),700759674,他勘定振替高(商),85,TAKANJO,739,TRUE,2,
819804371,仮受消費税,仮受消費税等,700759676,他流動負債,50,KARIUKES,440,TRUE,21,
819804367,仮受金,仮受金,700759677,他流動負債,50,KARIUKEK,428,TRUE,2,
819804317,仮払消費税,仮払消費税,700759678,他流動資産,40,KARIBARA,180,TRUE,34,
819804315,仮払金,仮払金,700759679,他流動資産,40,KARIBARA,176,TRUE,2,
819804416,会議費,会議費,700759680,販売管理費,93,KAIGI,754,TRUE,34,
819804432,保険料,保険料,700759681,販売管理費,93,HOKEN,770,TRUE,2,
819804479,保険積立金,保険積立金,700759682,投資その他の資産,44,HOKENTSU,253,TRUE,2,
819804423,修繕費,修繕費,700759683,販売管理費,93,SHUUZEN,762,TRUE,34,
819804333,借地権,借地権,700759684,無形固定資産,43,SHAKUCHI,224,TRUE,2,
819804336,出資金,出資金,700759685,投資その他の資産,44,SHUSSHI,241,TRUE,2,
819804382,別途積立金,別途積立金,700759686,任意積立金,62,BETTOTSU,535,TRUE,2,
819804381,利益準備金,利益準備金,700759687,利益準備金,60,RIEKIJUN,530,TRUE,2,
819804366,前受収益,前受収益,700759688,他流動負債,50,MAEUKESH,431,TRUE,2,
819804364,前受金,前受金,700759689,他流動負債,50,MAEUKEKI,430,TRUE,2,
819804471,前年度繰越収益,前年度繰越収益,700759690,売上高,81,ZENNEN,143,TRUE,2,
819804472,前年度繰越費用,前年度繰越費用,700759691,当期商品仕入,84,ZENNEN,407,TRUE,2,
819804310,前払費用,前払費用,700759692,他流動資産,40,MAEBARAI,175,TRUE,2,
819804461,前期損益修正損,前期損益修正損,700759693,特別損失,99,ZENKISON,933,TRUE,2,
819804457,前期損益修正益,前期損益修正益,700759694,特別利益,98,ZENKISON,913,TRUE,2,
819804308,前渡金,前渡金,700759695,他流動資産,40,MAEWATAS,170,TRUE,2,
819804303,副産物作業くず,製品,700759810,棚卸資産,39,FUKUSAN,166,TRUE,2,
819804369,割引手形,割引手形,700759696,他流動負債,50,WARIBIKI,432,TRUE,2,
819804449,割引料,割引料,700759697,営業外費用,96,WARIBIKI,831,TRUE,2,
819804347,創立費,創立費,700759698,繰延資産,45,SOURITSU,260,TRUE,34,
819804304,半製品,半製品,700759699,棚卸資産,39,HANSEIHI,162,TRUE,2,
819804305,原材料,原材料,700759700,棚卸資産,39,GENZAIRY,164,TRUE,2,
819804443,受取利息,受取利息,700759701,営業外収益,95,UKETORIR,800,TRUE,23,
819804296,受取手形,受取手形,700759702,売上債権,37,UKETORI,140,TRUE,2,
819804444,受取配当金,受取配当金,700759703,営業外収益,95,UKETORIH,801,TRUE,2,
819804301,商品,商品,700759704,棚卸資産,39,SHOUHIN,160,TRUE,2,
819804332,営業権,営業権,700759705,無形固定資産,43,EIGYOU,223,TRUE,34,
819804462,固定資産売却損,固定資産売却損,700759706,特別損失,99,KOTEISHI,920,TRUE,2,
819804458,固定資産売却益,固定資産売却益,700759707,特別利益,98,KOTEISHI,900,TRUE,21,
819804463,固定資産除却損,固定資産除却損,700759708,特別損失,99,KOTEISHI,921,TRUE,2,
819804327,土地,土地,700759709,有形固定資産,42,TOCHI,210,TRUE,2,
819804388,土地再評価差額金,土地再評価差額金,700759710,土地再評価差額金,69,TOCHISAI,580,TRUE,2,
819804429,地代家賃,地代家賃,700759711,販売管理費,93,CHIDAI,781,TRUE,34,
819804391,売上値引高,売上値引高,700759712,売上高,81,URIAGENE,707,TRUE,26,
819804452,売上割引,売上割引,700759713,営業外費用,96,URIAGEWA,833,TRUE,26,
819804393,売上割戻し高,売上割戻し高,700759714,売上高,81,URIAGEWA,709,TRUE,26,
